Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.16      6.15     0.01  1304179     0.00     0.00  GZipFileBlock::readSymbol(std::vector<unsigned short, std::allocator<unsigned short> >&, std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >&)
  0.16      6.16     0.01  1303990     0.00     0.00  std::_Tuple_impl<1ul, unsigned short, unsigned short>::_M_head(std::_Tuple_impl<1ul, unsigned short, unsigned short>&)
  0.16      6.17     0.01  1303350     0.00     0.00  std::move_iterator<unsigned char*> std::make_move_iterator<unsigned char*>(unsigned char*)
  0.16      6.18     0.01   652315     0.00     0.00  unsigned char* std::__uninitialized_copy_a<std::move_iterator<unsigned char*>, unsigned char*, unsigned char>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*, std::allocator<unsigned char>&)
  0.16      6.19     0.01   652121     0.00     0.00  std::__size_to_integer(unsigned long)
  0.16      6.20     0.01   652017     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_create_storage(unsigned long)
  0.16      6.21     0.01   652017     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base(unsigned long, std::allocator<unsigned char> const&)
  0.16      6.22     0.01   651997     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector(unsigned long, std::allocator<unsigned char> const&)
  0.16      6.23     0.01   651997     0.00     0.00  unsigned char* std::__fill_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&, std::random_access_iterator_tag)
  0.16      6.24     0.01   651995     0.00     0.00  std::array<std::tuple<unsigned char, unsigned short, unsigned short>, 29ul>::operator[](unsigned long) const
