Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.02    0.00 1306332/1306461     std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >::end() [47]
[40]     0.3    0.02    0.00 1306461         std::_Hashtable<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() [40]
                0.00    0.00 1306461/2612771     std::__detail::_Node_iterator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>*) [192]
-----------------------------------------------
                0.00    0.00       2/893         FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [128]
                0.00    0.00       2/893         FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [134]
                0.00    0.00       2/893         FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [129]
                0.00    0.00       2/893         FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [135]
                0.00    0.00       2/893         FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [130]
                0.00    0.00       2/893         FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [136]
                0.00    0.00       2/893         FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [131]
                0.00    0.00       2/893         FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [137]
                0.00    0.00       2/893         FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [132]
                0.00    0.00       2/893         FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [138]
                0.00    0.00       2/893         FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [133]
                0.00    0.00       2/893         FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [139]
                0.00    0.00       8/893         HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [121]
                0.00    0.00       8/893         HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [122]
                0.00    0.00       8/893         HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [123]
                0.00    0.00       8/893         HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [124]
                0.00    0.00       8/893         HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [125]
                0.00    0.00      60/893         GZipFileBlock::~GZipFileBlock() [92]
                0.00    0.00     107/893         std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >::~pair() [100]
                0.00    0.00     140/893         GZipFileBlock::decode_dynamic_codes() [49]
                0.00    0.00     144/893         HuffmanTable::~HuffmanTable() [95]
                0.00    0.00     167/893         std::vector<unsigned short, std::allocator<unsigned short> >::_M_move_assign(std::vector<unsigned short, std::allocator<unsigned short> >&&, std::integral_constant<bool, true>) [90]
                0.00    0.00     211/893         HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [72]
[41]     0.3    0.02    0.00     893         std::vector<unsigned short, std::allocator<unsigned short> >::~vector() [41]
                0.00    0.00     893/2361        std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_M_get_Tp_allocator() [275]
                0.00    0.00     893/893         void std::_Destroy<unsigned short*, unsigned short>(unsigned short*, unsigned short*, std::allocator<unsigned short>&) [291]
                0.00    0.00     893/893         std::_Vector_base<unsigned short, std::allocator<unsigned short> >::~_Vector_base() [289]
-----------------------------------------------
                0.00    0.02  651997/651997      unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long) [43]
[42]     0.3    0.00    0.02  651997         unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&) [42]
                0.01    0.00  651997/651997      unsigned char* std::__fill_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&, std::random_access_iterator_tag) [70]
                0.01    0.00  651997/652121      std::__size_to_integer(unsigned long) [68]
                0.00    0.00  651997/651997      std::iterator_traits<unsigned char*>::iterator_category std::__iterator_category<unsigned char*>(unsigned char* const&) [253]
-----------------------------------------------
                0.00    0.02  651997/651997      unsigned char* std::__uninitialized_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long) [45]
[43]     0.3    0.00    0.02  651997         unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long) [43]
                0.00    0.02  651997/651997      unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&) [42]
-----------------------------------------------
                0.00    0.02  651997/651997      std::vector<unsigned char, std::allocator<unsigned char> >::vector(unsigned long, std::allocator<unsigned char> const&) [28]
[44]     0.3    0.00    0.02  651997         std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_initialize(unsigned long) [44]
                0.00    0.02  651997/651997      unsigned char* std::__uninitialized_default_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, std::allocator<unsigned char>&) [46]
                0.00    0.00  651997/2608788     std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator() [195]
-----------------------------------------------
                0.00    0.02  651997/651997      unsigned char* std::__uninitialized_default_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, std::allocator<unsigned char>&) [46]
[45]     0.3    0.00    0.02  651997         unsigned char* std::__uninitialized_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long) [45]
                0.00    0.02  651997/651997      unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long) [43]
-----------------------------------------------
                0.00    0.02  651997/651997      std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_initialize(unsigned long) [44]
[46]     0.3    0.00    0.02  651997         unsigned char* std::__uninitialized_default_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, std::allocator<unsigned char>&) [46]
                0.00    0.02  651997/651997      unsigned char* std::__uninitialized_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long) [45]
-----------------------------------------------
                0.00    0.00     316/1306332     HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [121]
                0.00    0.00     316/1306332     HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [122]
                0.00    0.00     316/1306332     HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [123]
                0.00    0.00     316/1306332     HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [124]
                0.00    0.00     316/1306332     HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [125]
                0.00    0.00     464/1306332     HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [72]
                0.00    0.02 1304288/1306332     GZipFileBlock::readSymbol(std::vector<unsigned short, std::allocator<unsigned short> >&, std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >&) [9]
[47]     0.3    0.00    0.02 1306332         std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >::end() [47]
                0.02    0.00 1306332/1306461     std::_Hashtable<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() [40]
-----------------------------------------------
                0.01    0.01 1303350/1303350     unsigned char* std::__uninitialized_move_a<unsigned char*, unsigned char*, std::allocator<unsigned char> >(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&) [32]
[48]     0.3    0.01    0.01 1303350         std::move_iterator<unsigned char*> std::make_move_iterator<unsigned char*>(unsigned char*) [48]
                0.00    0.00 1303350/2607980     std::remove_reference<unsigned char*&>::type&& std::move<unsigned char*&>(unsigned char*&) [50]
                0.00    0.00 1303350/1304630     std::move_iterator<unsigned char*>::move_iterator(unsigned char*) [73]
-----------------------------------------------
                0.00    0.02      20/20          GZipFileBlock::get_output() [3]
[49]     0.3    0.00    0.02      20         GZipFileBlock::decode_dynamic_codes() [49]
                0.00    0.01      60/62          HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [72]
                0.00    0.00      60/60          HuffmanTable::~HuffmanTable() [95]
                0.00    0.00     140/893         std::vector<unsigned short, std::allocator<unsigned short> >::~vector() [41]
                0.00    0.00      60/120         std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >::~unordered_map() [89]
                0.00    0.00      60/60          std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >::operator=(std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >&&) [105]
                0.00    0.00      60/167         std::vector<unsigned short, std::allocator<unsigned short> >::operator=(std::vector<unsigned short, std::allocator<unsigned short> >&&) [91]
                0.00    0.00     166/1304179     GZipFileBlock::readSymbol(std::vector<unsigned short, std::allocator<unsigned short> >&, std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >&) [9]
                0.00    0.00      60/60          GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&) [141]
                0.00    0.00    6140/189703023     std::vector<unsigned short, std::allocator<unsigned short> >::operator[](unsigned long) [15]
                0.00    0.00     483/1304493     BitInputStream::consumeNextNBits(unsigned short) [54]
                0.00    0.00      40/64          std::vector<unsigned short, std::allocator<unsigned short> >::vector(unsigned long, std::allocator<unsigned short> const&) [152]
                0.00    0.00     360/168214888     std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) const [20]
                0.00    0.00     186/189692959     std::vector<unsigned short, std::allocator<unsigned short> >::size() const [17]
                0.00    0.00      60/72          HuffmanTable::HuffmanTable(std::vector<unsigned short, std::allocator<unsigned short> >&, std::vector<unsigned short, std::allocator<unsigned short> >&) [164]
                0.00    0.00      80/438         std::allocator<unsigned short>::allocator() [318]
                0.00    0.00      80/1676        std::allocator<unsigned short>::~allocator() [280]
                0.00    0.00      60/441         std::vector<unsigned short, std::allocator<unsigned short> >::begin() [316]
                0.00    0.00      40/40          __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >::operator+(long) const [507]
                0.00    0.00      40/40          std::vector<unsigned short, std::allocator<unsigned short> >::vector<__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, void>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, std::allocator<unsigned short> const&) [516]
                0.00    0.00      20/401         std::vector<unsigned short, std::allocator<unsigned short> >::end() [324]
-----------------------------------------------
                0.00    0.00 1303350/2607980     std::move_iterator<unsigned char*> std::make_move_iterator<unsigned char*>(unsigned char*) [48]
                0.01    0.00 1304630/2607980     std::move_iterator<unsigned char*>::move_iterator(unsigned char*) [73]
[50]     0.2    0.01    0.00 2607980         std::remove_reference<unsigned char*&>::type&& std::move<unsigned char*&>(unsigned char*&) [50]
-----------------------------------------------
                0.00    0.00 1303350/2607340     __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [71]
                0.01    0.00 1303990/2607340     unsigned char* std::copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*) [77]
[51]     0.2    0.01    0.00 2607340         __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [51]
-----------------------------------------------
                0.00    0.00  651675/1955665     __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*) [93]
                0.01    0.00 1303990/1955665     __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::vector<unsigned char, std::allocator<unsigned char> >::insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, void>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [21]
[52]     0.2    0.01    0.00 1955665         __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator+(long) const [52]
                0.00    0.00 1955665/5867327     __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char* const&) [186]
-----------------------------------------------
                0.01    0.00 1304630/1304630     unsigned char* std::copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [60]
[53]     0.2    0.01    0.00 1304630         decltype (__miter_base(({parm#1}.base)())) std::__miter_base<unsigned char*>(std::move_iterator<unsigned char*>) [53]
                0.00    0.00 1304630/1304630     unsigned char* std::__miter_base<unsigned char*>(unsigned char*) [217]
                0.00    0.00 1304630/1304630     std::move_iterator<unsigned char*>::base() const & [216]
-----------------------------------------------
                0.00    0.00      20/1304493     GZipFileBlock::GZipFileBlock(GZipFile&) [165]
                0.00    0.00     483/1304493     GZipFileBlock::decode_dynamic_codes() [49]
                0.01    0.00 1303990/1304493     GZipFileBlock::decode() [4]
[54]     0.2    0.01    0.00 1304493         BitInputStream::consumeNextNBits(unsigned short) [54]
                0.00    0.00    1837/1306145     BitInputStream::consumeNextBit() [215]
-----------------------------------------------
                0.01    0.00 1303990/1303990     unsigned short& std::__get_helper<1ul, unsigned short, unsigned short>(std::_Tuple_impl<1ul, unsigned short, unsigned short>&) [56]
[55]     0.2    0.01    0.00 1303990         std::_Tuple_impl<1ul, unsigned short, unsigned short>::_M_head(std::_Tuple_impl<1ul, unsigned short, unsigned short>&) [55]
                0.00    0.00 1303990/1303990     std::_Head_base<1ul, unsigned short, false>::_M_head(std::_Head_base<1ul, unsigned short, false>&) [223]
-----------------------------------------------
                0.00    0.01 1303990/1303990     std::tuple_element<1ul, std::tuple<unsigned char, unsigned short, unsigned short> >::type& std::get<1ul, unsigned char, unsigned short, unsigned short>(std::tuple<unsigned char, unsigned short, unsigned short>&) [57]
[56]     0.2    0.00    0.01 1303990         unsigned short& std::__get_helper<1ul, unsigned short, unsigned short>(std::_Tuple_impl<1ul, unsigned short, unsigned short>&) [56]
                0.01    0.00 1303990/1303990     std::_Tuple_impl<1ul, unsigned short, unsigned short>::_M_head(std::_Tuple_impl<1ul, unsigned short, unsigned short>&) [55]
-----------------------------------------------
                0.00    0.01 1303990/1303990     GZipFileBlock::decode() [4]
[57]     0.2    0.00    0.01 1303990         std::tuple_element<1ul, std::tuple<unsigned char, unsigned short, unsigned short> >::type& std::get<1ul, unsigned char, unsigned short, unsigned short>(std::tuple<unsigned char, unsigned short, unsigned short>&) [57]
                0.00    0.01 1303990/1303990     unsigned short& std::__get_helper<1ul, unsigned short, unsigned short>(std::_Tuple_impl<1ul, unsigned short, unsigned short>&) [56]
-----------------------------------------------
                0.00    0.01  652315/652315      unsigned char* std::uninitialized_copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [59]
[58]     0.2    0.00    0.01  652315         unsigned char* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [58]
                0.00    0.01  652315/652315      unsigned char* std::copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [60]
-----------------------------------------------
                0.00    0.01  652315/652315      unsigned char* std::__uninitialized_copy_a<std::move_iterator<unsigned char*>, unsigned char*, unsigned char>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*, std::allocator<unsigned char>&) [37]
[59]     0.2    0.00    0.01  652315         unsigned char* std::uninitialized_copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [59]
                0.00    0.01  652315/652315      unsigned char* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [58]
-----------------------------------------------
                0.00    0.01  652315/652315      unsigned char* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [58]
[60]     0.2    0.00    0.01  652315         unsigned char* std::copy<std::move_iterator<unsigned char*>, unsigned char*>(std::move_iterator<unsigned char*>, std::move_iterator<unsigned char*>, unsigned char*) [60]
                0.01    0.00 1304630/1304630     decltype (__miter_base(({parm#1}.base)())) std::__miter_base<unsigned char*>(std::move_iterator<unsigned char*>) [53]
                0.00    0.00  652315/652315      unsigned char* std::__copy_move_a<true, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*) [244]
-----------------------------------------------
                0.01    0.00  651995/651995      GZipFileBlock::decode() [4]
[61]     0.2    0.01    0.00  651995         std::array<std::tuple<unsigned char, unsigned short, unsigned short>, 29ul>::operator[](unsigned long) const [61]
                0.00    0.00  651995/651995      std::__array_traits<std::tuple<unsigned char, unsigned short, unsigned short>, 29ul>::_S_ref(std::tuple<unsigned char, unsigned short, unsigned short> const (&) [29], unsigned long) [260]
-----------------------------------------------
                0.00    0.01  651995/651995      GZipFileBlock::decode() [4]
[62]     0.2    0.00    0.01  651995         std::array<std::tuple<unsigned char, unsigned short, unsigned short>, 30ul>::operator[](unsigned long) const [62]
                0.01    0.00  651995/651995      std::__array_traits<std::tuple<unsigned char, unsigned short, unsigned short>, 30ul>::_S_ref(std::tuple<unsigned char, unsigned short, unsigned short> const (&) [30], unsigned long) [63]
-----------------------------------------------
                0.01    0.00  651995/651995      std::array<std::tuple<unsigned char, unsigned short, unsigned short>, 30ul>::operator[](unsigned long) const [62]
[63]     0.2    0.01    0.00  651995         std::__array_traits<std::tuple<unsigned char, unsigned short, unsigned short>, 30ul>::_S_ref(std::tuple<unsigned char, unsigned short, unsigned short> const (&) [30], unsigned long) [63]
-----------------------------------------------
                0.01    0.00  651675/651675      void std::vector<unsigned char, std::allocator<unsigned char> >::_M_range_insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::forward_iterator_tag) [24]
[64]     0.2    0.01    0.00  651675         void std::advance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >&, unsigned long) [64]
                0.00    0.00  651675/1955665     std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&) [199]
                0.00    0.00  651675/651675      void std::__advance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, long>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >&, long, std::random_access_iterator_tag) [265]
-----------------------------------------------
                0.00    0.01 1308247/1308247     std::__detail::_Hashtable_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned short const&, unsigned long, std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>*) const [34]
[65]     0.2    0.00    0.01 1308247         std::__detail::_Hashtable_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const [65]
                0.01    0.00 1308247/1308247     std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned short>, true>::_M_cget() const [66]
-----------------------------------------------
                0.01    0.00 1308247/1308247     std::__detail::_Hashtable_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const [65]
[66]     0.2    0.01    0.00 1308247         std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned short>, true>::_M_cget() const [66]
-----------------------------------------------
                0.01    0.00 1308247/1308247     std::tuple_element<0ul, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >::type& std::get<0ul, unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >(std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >&) [39]
[67]     0.2    0.01    0.00 1308247         unsigned short const& std::__pair_get<0ul>::__get<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >(std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >&) [67]
-----------------------------------------------
                0.00    0.00     124/652121      unsigned short* std::fill_n<unsigned short*, unsigned long, unsigned short>(unsigned short*, unsigned long, unsigned short const&) [145]
                0.01    0.00  651997/652121      unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&) [42]
[68]     0.2    0.01    0.00  652121         std::__size_to_integer(unsigned long) [68]
-----------------------------------------------
                0.01    0.00  652017/652017      std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base(unsigned long, std::allocator<unsigned char> const&) [36]
[69]     0.2    0.01    0.00  652017         std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_create_storage(unsigned long) [69]
                0.00    0.00  652017/652346      std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_allocate(unsigned long) [240]
-----------------------------------------------
                0.01    0.00  651997/651997      unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&) [42]
[70]     0.2    0.01    0.00  651997         unsigned char* std::__fill_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&, std::random_access_iterator_tag) [70]
                0.00    0.00  651997/651997      void std::__fill_a<unsigned char*, unsigned char>(unsigned char*, unsigned char*, unsigned char const&) [254]
-----------------------------------------------
                0.00    0.01  651675/651675      void std::vector<unsigned char, std::allocator<unsigned char> >::_M_range_insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::forward_iterator_tag) [24]
[71]     0.1    0.00    0.01  651675         __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [71]
